 ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z, Auth, Trans, RSSI-M
0,0,1,84,94,100,2,12,74,0,9,4,77.5
1,0,1,80,93,100,1,12,70,0,9,4,77
2,0,1,83,96,100,4,8,71,0,9,4,76.5
3,0,1,78,98,100,5,15,69,0,9,4,76.5
4,0,1,85,97,100,5,11,75,0,9,4,76.5
5,0,1,80,95,100,7,15,71,0,9,4,76.5
6,0,1,81,95,100,3,12,71,0,9,4,76.5
7,0,1,83,97,100,3,10,72,0,9,4,76.5
8,0,1,79,94,100,1,15,70,0,9,4,76.5
9,0,1,85,97,100,4,8,73,0,9,4,77
10,0,1,81,93,100,4,14,72,0,9,4,78
11,0,1,79,93,100,3,12,69,0,9,4,77
12,0,1,80,98,100,5,11,69,0,9,4,76.5
13,0,1,83,97,100,2,13,74,0,9,4,76
14,0,1,80,96,100,3,15,71,0,9,4,77
15,0,1,79,94,100,3,14,70,0,9,4,77
16,0,1,79,93,100,5,12,69,0,9,4,76.5
17,0,1,80,94,100,4,11,69,0,9,4,76
18,0,1,82,94,100,4,10,71,0,9,4,75.5
19,0,1,80,93,100,1,12,70,0,9,4,76.5
20,0,1,85,95,100,5,7,73,0,9,4,76.5
21,0,1,85,94,100,5,7,73,0,9,4,76.5
22,0,1,85,93,100,2,8,73,0,9,4,76
23,0,1,85,93,100,2,8,73,0,9,4,76
24,0,1,86,97,100,6,6,73,0,9,4,77.5
25,0,1,79,94,100,8,15,70,0,9,4,77.5
26,0,1,83,93,100,1,9,72,0,9,4,76.5
27,0,1,83,92,100,2,8,71,0,9,4,76.5
28,0,1,79,93,100,4,11,68,0,9,4,77
29,0,1,78,94,100,5,12,68,0,9,4,77
30,0,1,84,95,100,1,8,72,0,9,4,77
31,0,1,77,95,100,4,15,68,0,9,4,76
32,0,1,82,97,100,4,11,72,0,9,4,76.5
33,0,1,81,94,100,6,14,72,0,9,4,76.5
34,0,1,83,97,100,7,9,72,0,9,4,76.5
35,0,1,80,95,100,4,15,71,0,9,4,77.5
36,0,1,82,95,100,3,11,72,0,9,4,77
37,0,1,80,96,100,4,13,70,0,9,4,76.5
38,0,1,81,96,100,2,13,72,0,9,4,76.5
39,0,1,83,94,100,1,11,73,0,9,4,77
40,0,1,81,92,100,2,11,70,0,9,4,75
41,0,1,83,93,100,6,7,70,0,9,4,76.5
42,0,1,87,97,100,6,5,74,0,9,4,76.5
43,0,1,85,94,100,5,10,75,0,9,4,75.5
44,0,1,87,97,100,5,6,75,0,9,4,76
45,0,1,85,96,100,5,10,75,0,9,4,75.5
46,0,1,86,95,100,1,9,75,0,9,4,75
47,0,1,89,94,100,1,5,76,0,9,4,75
48,0,1,88,97,100,5,5,75,0,9,4,75
49,0,1,87,93,100,1,9,76,0,9,4,75.5
50,0,1,89,98,100,2,3,75,0,9,4,76.5
51,0,1,87,95,100,5,10,77,0,9,4,75.5
52,0,1,86,94,100,1,8,75,0,9,4,75
53,0,1,86,96,100,4,7,74,0,9,4,75
54,0,1,88,93,100,3,7,76,0,9,4,76.5
55,0,1,87,98,100,3,5,74,0,9,4,76
56,0,1,88,96,100,3,9,77,0,9,4,75
57,0,1,87,96,100,1,8,76,0,9,4,75.5
58,0,1,87,95,100,3,8,76,0,9,4,75.5
59,0,1,88,94,100,3,6,76,0,9,4,75.5
60,0,1,88,94,100,3,5,75,0,9,4,75
61,0,1,88,93,100,3,5,75,0,9,4,75
62,0,1,89,97,100,3,3,75,0,9,4,75
63,0,1,88,97,100,3,8,77,0,9,4,75
64,0,1,88,93,100,3,8,77,0,9,4,75.5
65,0,1,88,96,100,1,4,75,0,9,4,75.5
66,0,1,87,92,100,1,8,76,0,9,4,76
67,0,1,88,96,100,5,3,74,0,9,4,75
68,0,1,88,91,100,3,7,76,0,9,4,75.5
69,0,1,88,95,100,6,2,73,0,9,4,76
70,0,1,89,93,100,2,5,76,0,9,4,75
71,0,1,87,96,100,2,5,74,0,9,4,75
