ID,User,nLos,D-Master,D-Slaver,D-Gate,Speed,x,y,z
0,1,0,71,31,73,2,-32,26,-1
1,1,0,69,21,73,5,-27,32,-1
2,1,0,72,31,73,3,-34,23,-1
3,1,0,69,31,73,0,-27,32,-1
4,1,0,71,27,73,3,-30,30,-1
5,1,0,69,22,73,2,-29,28,-1
6,1,0,70,29,73,8,-32,23,-1
7,1,0,74,24,73,4,-34,29,-1
8,1,0,71,30,73,3,-32,26,-1
9,1,0,70,26,73,7,-29,30,-1
10,1,0,70,23,73,5,-31,25,-1
11,1,0,71,34,73,3,-33,23,-1
12,1,0,70,21,73,4,-27,34,-1
13,1,0,71,30,73,2,-33,23,-1
14,1,0,68,30,73,9,-27,30,-1
15,1,0,70,32,73,4,-29,30,-1
16,1,0,69,26,73,10,-27,32,-1
17,1,0,70,32,73,6,-31,25,-1
18,1,0,70,28,73,2,-28,32,-1
19,1,0,70,31,73,5,-30,28,-1
20,1,0,69,28,73,8,-27,32,-1
21,1,0,68,25,73,5,-28,27,-1
22,1,0,68,31,73,3,-29,25,-1
23,1,0,69,31,73,0,-27,32,-1
24,1,0,68,29,73,4,-26,31,-1
25,1,0,68,28,73,5,-27,30,-1
26,1,0,69,31,73,4,-29,28,-1
27,1,0,68,32,73,0,-26,31,-1
28,1,0,70,30,73,2,-28,32,-1
29,1,0,71,23,73,2,-30,30,-1
30,1,0,72,32,73,11,-34,23,-1
31,1,0,70,28,73,0,-28,32,-1
32,1,0,68,30,73,3,-28,27,-1
33,1,0,68,30,73,9,-27,30,-1
34,1,0,69,29,73,2,-28,30,-1
35,1,0,71,28,73,3,-30,30,-1
36,1,0,68,23,73,3,-28,27,-1
37,1,0,72,30,73,9,-34,23,-1
38,1,0,68,29,73,3,-27,30,-1
39,1,0,70,28,73,3,-29,30,-1
40,1,0,69,30,73,7,-29,28,-1
41,1,0,70,31,73,2,-29,30,-1
42,1,0,69,24,73,2,-27,32,-1
43,1,0,70,28,73,3,-31,25,-1
44,1,0,68,30,73,3,-28,27,-1
45,1,0,68,31,73,2,-27,30,-1
46,1,0,68,27,73,7,-26,31,-1
47,1,0,69,29,73,1,-29,28,-1
48,1,0,71,30,73,3,-30,30,-1
49,1,0,69,27,73,2,-28,30,-1
50,1,0,69,26,73,0,-29,28,-1
51,1,0,70,29,73,5,-31,25,-1
52,1,0,70,31,73,1,-29,30,-1
53,1,0,68,31,73,4,-26,31,-1
54,1,0,68,25,73,7,-26,31,-1
55,1,0,69,33,73,5,-30,25,-1
56,1,0,68,30,73,2,-25,33,-1
57,1,0,68,31,73,1,-27,30,-1
58,1,0,68,30,73,7,-26,31,-1
59,1,0,68,31,73,3,-27,30,-1
60,1,0,70,31,73,2,-28,32,-1
61,1,0,68,28,73,1,-26,31,-1
62,1,0,69,32,73,4,-29,28,-1
63,1,0,69,30,73,0,-27,32,-1
64,1,0,69,30,73,2,-28,30,-1
65,1,0,70,28,73,2,-29,30,-1
66,1,0,69,29,73,4,-29,28,-1
67,1,0,70,21,73,1,-29,30,-1
68,1,0,68,25,73,8,-30,22,-1
69,1,0,68,28,73,3,-29,25,-1
70,1,0,71,26,73,2,-31,28,-1
71,1,0,72,30,73,5,-33,26,-1
72,1,0,69,32,73,5,-28,30,-1
73,1,0,66,27,73,7,-24,31,-1
74,1,0,68,31,73,5,-28,27,-1
75,1,0,68,32,73,2,-26,31,-1
76,1,0,69,29,73,3,-27,32,-1
77,1,0,68,31,73,3,-27,30,-1
78,1,0,68,30,73,0,-26,31,-1
79,1,0,68,30,73,2,-27,30,-1
80,1,0,67,30,73,1,-26,29,-1
81,1,0,67,30,73,2,-26,29,-1
82,1,0,69,29,73,1,-28,30,-1
83,1,0,68,33,73,1,-27,30,-1
84,1,0,68,21,73,4,-25,33,-1
85,1,0,69,20,73,7,-31,23,-1
86,1,0,69,31,73,11,-32,20,-1
87,1,0,71,24,73,5,-30,30,-1
88,1,0,71,29,73,3,-32,26,-1
89,1,0,70,32,73,10,-29,30,-1
90,1,0,68,31,73,4,-26,31,-1
91,1,0,70,26,73,7,-28,32,-1
92,1,0,71,29,73,5,-32,26,-1
93,1,0,72,32,73,5,-31,30,-1
94,1,0,69,30,73,1,-27,32,-1
95,1,0,68,30,73,6,-27,30,-1
96,1,0,70,28,73,2,-29,30,-1
97,1,0,70,29,73,5,-30,28,-1
98,1,0,70,31,73,2,-29,30,-1
99,1,0,72,26,73,2,-31,30,-1
100,1,0,71,26,73,2,-32,26,-1
101,1,0,71,32,73,5,-32,26,-1
102,1,0,69,30,73,4,-27,32,-1
103,1,0,72,29,73,4,-31,30,-1
104,1,0,72,33,73,4,-31,30,-1
105,1,0,69,23,73,0,-27,32,-1
106,1,0,69,30,73,7,-31,23,-1
107,1,0,69,20,73,3,-28,30,-1
108,1,0,72,27,73,14,-35,20,-1
109,1,0,68,30,73,5,-28,27,-1
110,1,0,67,29,73,2,-26,29,-1
111,1,0,67,31,73,2,-26,29,-1
112,1,0,68,31,73,14,-26,31,-1
113,1,0,70,32,73,5,-28,32,-1
114,1,0,69,22,73,3,-27,32,-1
115,1,0,70,30,73,10,-32,23,-1
116,1,0,71,30,73,2,-30,30,-1
117,1,0,69,30,73,2,-28,30,-1
118,1,0,71,32,73,7,-30,30,-1
119,1,0,71,25,73,2,-29,32,-1
120,1,0,69,28,73,5,-30,25,-1
121,1,0,69,30,73,2,-29,28,-1
122,1,0,68,25,73,2,-27,30,-1
123,1,0,71,27,73,2,-32,26,-1
124,1,0,70,22,73,1,-30,28,-1
125,1,0,69,22,73,8,-31,23,-1
126,1,0,69,29,73,3,-31,23,-1
127,1,0,69,30,73,2,-28,30,-1
128,1,0,68,19,73,8,-27,30,-1
129,1,0,69,28,73,3,-32,20,-1
130,1,0,67,29,73,3,-27,27,-1
131,1,0,69,31,73,1,-28,30,-1
132,1,0,68,31,73,12,-26,31,-1
133,1,0,70,32,73,5,-28,32,-1
134,1,0,67,29,73,3,-25,31,-1
135,1,0,68,32,73,2,-27,29,-2
136,1,0,68,26,73,2,-26,31,-2
137,1,0,68,22,73,7,-29,25,-2
138,1,0,68,30,73,7,-30,22,-1
139,1,0,71,30,73,4,-30,30,-1
140,1,0,69,27,73,5,-28,30,-1
141,1,0,69,29,73,6,-29,28,-2
142,1,0,69,29,73,2,-28,30,-2
143,1,0,69,34,73,0,-28,30,-1
144,1,0,71,26,73,6,-28,34,-1
145,1,0,69,28,73,5,-30,25,-1
146,1,0,68,30,73,3,-28,27,-1
147,1,0,68,31,73,4,-27,30,-1
148,1,0,70,24,73,7,-28,32,-1
149,1,0,69,31,73,2,-30,25,-1
150,1,0,69,31,73,2,-27,32,-1
151,1,0,68,28,73,2,-26,31,-1
152,1,0,70,28,73,3,-30,28,1
153,1,0,69,30,73,4,-29,28,0
154,1,0,69,29,73,2,-28,30,0
155,1,0,69,27,73,2,-28,30,0
156,1,0,69,23,73,0,-29,28,0
157,1,0,69,30,73,7,-31,23,0
158,1,0,68,24,73,1,-27,30,0
159,1,0,68,30,73,3,-29,25,-1
160,1,0,72,29,73,7,-31,30,-1
161,1,0,69,30,73,1,-28,30,-1
162,1,0,68,29,73,5,-27,30,-1
163,1,0,68,29,73,4,-27,30,-1
164,1,0,68,31,73,1,-27,30,-1
165,1,0,68,30,73,1,-26,31,-1
166,1,0,68,31,73,0,-27,30,-1
167,1,0,68,29,73,1,-26,31,-1
168,1,0,68,32,73,1,-27,30,-1
169,1,0,68,29,73,1,-26,31,-2
170,1,0,71,31,73,4,-30,30,-2
171,1,0,70,23,73,2,-28,32,-1
172,1,0,69,31,73,9,-31,23,-1
173,1,0,71,29,73,0,-30,30,-1
174,1,0,72,26,73,3,-31,30,-1
175,1,0,68,28,73,2,-29,25,-1
176,1,0,71,29,73,2,-31,28,-1
177,1,0,68,27,73,4,-27,30,-1
178,1,0,70,28,73,3,-30,28,-1
179,1,0,69,31,73,2,-29,28,-1
180,1,0,70,30,73,2,-28,32,-1
181,1,0,69,29,73,2,-28,30,-1
182,1,0,68,28,73,2,-27,30,-1
183,1,0,69,27,73,4,-29,28,-1
184,1,0,68,30,73,3,-28,27,-2
185,1,0,69,30,73,1,-28,30,-1
186,1,0,68,31,73,2,-27,30,-1
187,1,0,67,30,73,5,-25,31,-1
188,1,0,70,31,73,1,-29,30,-1
189,1,0,68,29,73,1,-26,31,-1
190,1,0,68,29,73,2,-27,30,-1
191,1,0,68,28,73,2,-27,30,-1
