ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z
0, 4, 0, 58, 76, 100, 0, 0, 0, 30
1, 4, 0, 54, 80, 100, 0, 0, 0, 31
2, 4, 0, 54, 75, 100, 0, 0, 0, 34
3, 4, 0, 56, 79, 100, 0, 0, 0, 32
4, 4, 0, 56, 83, 100, 0, 0, 0, 33
5, 4, 0, 57, 82, 100, 0, 0, 0, 36
6, 4, 0, 55, 80, 100, 0, 0, 0, 39
7, 4, 0, 57, 85, 100, 0, 0, 0, 38
8, 4, 0, 57, 82, 100, 0, 0, 0, 42
9, 4, 0, 57, 80, 100, 0, 0, 0, 42
10, 4, 0, 55, 82, 100, 0, 0, 0, 42
11, 4, 0, 59, 78, 100, 0, 0, 0, 41
12, 4, 0, 58, 78, 100, 0, 0, 0, 37
13, 4, 0, 57, 81, 100, 0, 0, 0, 35
14, 4, 0, 56, 81, 100, 0, 0, 0, 37
15, 4, 0, 56, 76, 100, 0, 0, 0, 39
16, 4, 0, 58, 80, 100, 0, 0, 0, 34
17, 4, 0, 56, 81, 100, 0, 0, 0, 36
18, 4, 0, 57, 75, 100, 0, 0, 0, 37
19, 4, 0, 56, 76, 100, 0, 0, 0, 33
20, 4, 0, 57, 75, 100, 0, 0, 0, 31
21, 4, 0, 56, 76, 100, 0, 0, 0, 29
22, 4, 0, 58, 81, 100, 0, 0, 0, 28
23, 4, 0, 56, 77, 100, 0, 0, 0, 32
24, 4, 0, 57, 77, 100, 0, 0, 0, 31
25, 4, 0, 56, 76, 100, 0, 0, 0, 31
26, 4, 0, 60, 76, 100, 0, 0, 0, 28
27, 4, 0, 57, 79, 100, 0, 0, 0, 27
28, 4, 0, 56, 80, 100, 0, 0, 0, 30
29, 4, 0, 55, 77, 100, 0, 0, 0, 33
30, 4, 0, 55, 74, 100, 0, 0, 0, 33
31, 4, 0, 55, 78, 100, 0, 0, 0, 30
32, 4, 0, 56, 76, 100, 0, 0, 0, 31
33, 4, 0, 55, 76, 100, 0, 0, 0, 31
34, 4, 0, 55, 80, 100, 0, 0, 0, 30
35, 4, 0, 57, 75, 100, 0, 0, 0, 32
36, 4, 0, 57, 76, 100, 0, 0, 0, 30
37, 4, 0, 56, 79, 100, 0, 0, 0, 29
38, 4, 0, 56, 79, 100, 0, 0, 0, 31
39, 4, 0, 56, 77, 100, 0, 0, 0, 33
40, 4, 0, 56, 80, 100, 0, 0, 0, 32
41, 4, 0, 57, 76, 100, 0, 0, 0, 33
42, 4, 0, 55, 78, 100, 0, 0, 0, 32
43, 4, 0, 58, 78, 100, 0, 0, 0, 31
44, 4, 0, 55, 76, 100, 0, 0, 0, 32
45, 4, 0, 56, 75, 100, 0, 0, 0, 31
46, 4, 0, 57, 79, 100, 0, 0, 0, 29
47, 4, 0, 57, 79, 100, 0, 0, 0, 30
48, 4, 0, 58, 76, 100, 0, 0, 0, 31
49, 4, 0, 56, 74, 100, 0, 0, 0, 30
50, 4, 0, 59, 80, 100, 0, 0, 0, 26
51, 4, 0, 56, 81, 100, 0, 0, 0, 30
52, 4, 0, 54, 78, 100, 0, 0, 0, 35
53, 4, 0, 56, 75, 100, 0, 0, 0, 34
54, 4, 0, 57, 76, 100, 0, 0, 0, 31
55, 4, 0, 56, 75, 100, 0, 0, 0, 30
56, 4, 0, 56, 76, 100, 0, 0, 0, 29
57, 4, 0, 57, 77, 100, 0, 0, 0, 28
58, 4, 0, 58, 78, 100, 0, 0, 0, 28
59, 4, 0, 57, 76, 100, 0, 0, 0, 29
60, 4, 0, 57, 90, 100, 0, 0, 0, 28
61, 4, 0, 56, 76, 100, 0, 0, 0, 40
62, 4, 0, 57, 79, 100, 0, 0, 0, 36
63, 4, 0, 56, 81, 100, 0, 0, 0, 36
64, 4, 0, 57, 82, 100, 0, 0, 0, 37
65, 4, 0, 60, 76, 100, 0, 0, 0, 37
66, 4, 0, 56, 78, 100, 0, 0, 0, 34
67, 4, 0, 56, 78, 100, 0, 0, 0, 34
68, 4, 0, 55, 81, 100, 0, 0, 0, 34
69, 4, 0, 57, 81, 100, 0, 0, 0, 36
70, 4, 0, 58, 80, 100, 0, 0, 0, 36
71, 4, 0, 56, 80, 100, 0, 0, 0, 37
72, 4, 0, 55, 80, 100, 0, 0, 0, 38
73, 4, 0, 56, 77, 100, 0, 0, 0, 38
74, 4, 0, 56, 82, 100, 0, 0, 0, 36
75, 4, 0, 56, 83, 100, 0, 0, 0, 38
76, 4, 0, 54, 81, 100, 0, 0, 0, 42
77, 4, 0, 56, 82, 100, 0, 0, 0, 42
78, 4, 0, 56, 82, 100, 0, 0, 0, 42
79, 4, 0, 56, 84, 100, 0, 0, 0, 43
80, 4, 0, 55, 77, 100, 0, 0, 0, 45
81, 4, 0, 57, 74, 100, 0, 0, 0, 40
82, 4, 0, 58, 74, 100, 0, 0, 0, 34
83, 4, 0, 56, 80, 100, 0, 0, 0, 30
84, 4, 0, 54, 80, 100, 0, 0, 0, 34
85, 4, 0, 58, 76, 100, 0, 0, 0, 34
86, 4, 0, 57, 75, 100, 0, 0, 0, 32
87, 4, 0, 56, 76, 100, 0, 0, 0, 30
88, 4, 0, 57, 75, 100, 0, 0, 0, 29
89, 4, 0, 56, 78, 100, 0, 0, 0, 28
90, 4, 0, 56, 85, 100, 0, 0, 0, 30
91, 4, 0, 56, 77, 100, 0, 0, 0, 37
92, 4, 0, 56, 86, 100, 0, 0, 0, 35
93, 4, 0, 56, 83, 100, 0, 0, 0, 41
94, 4, 0, 55, 86, 100, 0, 0, 0, 44
95, 4, 0, 58, 79, 100, 0, 0, 0, 46
96, 4, 0, 59, 77, 100, 0, 0, 0, 41
97, 4, 0, 56, 80, 100, 0, 0, 0, 38
98, 4, 0, 56, 75, 100, 0, 0, 0, 38
99, 4, 0, 56, 76, 100, 0, 0, 0, 34
100, 4, 0, 58, 81, 100, 0, 0, 0, 31
101, 4, 0, 57, 76, 100, 0, 0, 0, 34
102, 4, 0, 57, 76, 100, 0, 0, 0, 31
103, 4, 0, 57, 76, 100, 0, 0, 0, 30
104, 4, 0, 56, 79, 100, 0, 0, 0, 29
105, 4, 0, 57, 81, 100, 0, 0, 0, 31
106, 4, 0, 56, 84, 100, 0, 0, 0, 34
107, 4, 0, 54, 81, 100, 0, 0, 0, 40
108, 4, 0, 55, 78, 100, 0, 0, 0, 41
109, 4, 0, 56, 74, 100, 0, 0, 0, 39
110, 4, 0, 57, 77, 100, 0, 0, 0, 33
111, 4, 0, 56, 72, 100, 0, 0, 0, 32
112, 4, 0, 57, 75, 100, 0, 0, 0, 27
113, 4, 0, 57, 79, 100, 0, 0, 0, 26
114, 4, 0, 57, 81, 100, 0, 0, 0, 28
115, 4, 0, 57, 84, 100, 0, 0, 0, 32
116, 4, 0, 56, 82, 100, 0, 0, 0, 37
117, 4, 0, 58, 77, 100, 0, 0, 0, 38
118, 4, 0, 56, 72, 100, 0, 0, 0, 36
119, 4, 0, 56, 82, 100, 0, 0, 0, 30
120, 4, 0, 57, 76, 100, 0, 0, 0, 34
121, 4, 0, 57, 77, 100, 0, 0, 0, 32
122, 4, 0, 56, 74, 100, 0, 0, 0, 31
123, 4, 0, 56, 76, 100, 0, 0, 0, 29
124, 4, 0, 56, 74, 100, 0, 0, 0, 29
125, 4, 0, 59, 80, 100, 0, 0, 0, 25
126, 4, 0, 57, 76, 100, 0, 0, 0, 29
127, 4, 0, 57, 83, 100, 0, 0, 0, 28
128, 4, 0, 56, 76, 100, 0, 0, 0, 34
129, 4, 0, 60, 76, 100, 0, 0, 0, 30
130, 4, 0, 55, 76, 100, 0, 0, 0, 30
131, 4, 0, 54, 83, 100, 0, 0, 0, 30
132, 4, 0, 55, 82, 100, 0, 0, 0, 36
133, 4, 0, 56, 73, 100, 0, 0, 0, 38
134, 4, 0, 56, 76, 100, 0, 0, 0, 33
135, 4, 0, 56, 78, 100, 0, 0, 0, 31
136, 4, 0, 56, 77, 100, 0, 0, 0, 32
137, 4, 0, 55, 74, 100, 0, 0, 0, 32
138, 4, 0, 55, 78, 100, 0, 0, 0, 30
139, 4, 0, 55, 75, 100, 0, 0, 0, 31
140, 4, 0, 60, 78, 100, 0, 0, 0, 27
141, 4, 0, 57, 74, 100, 0, 0, 0, 28
142, 4, 0, 59, 77, 100, 0, 0, 0, 25
143, 4, 0, 56, 75, 100, 0, 0, 0, 27
144, 4, 0, 54, 80, 100, 0, 0, 0, 28
145, 4, 0, 56, 76, 100, 0, 0, 0, 31
146, 4, 0, 57, 79, 100, 0, 0, 0, 30
147, 4, 0, 56, 75, 100, 0, 0, 0, 31
148, 4, 0, 56, 76, 100, 0, 0, 0, 30
149, 4, 0, 55, 74, 100, 0, 0, 0, 30
150, 4, 0, 56, 77, 100, 0, 0, 0, 28
151, 4, 0, 55, 81, 100, 0, 0, 0, 29
152, 4, 0, 55, 82, 100, 0, 0, 0, 33
153, 4, 0, 59, 75, 100, 0, 0, 0, 35
154, 4, 0, 56, 73, 100, 0, 0, 0, 32
155, 4, 0, 57, 78, 100, 0, 0, 0, 28
156, 4, 0, 59, 76, 100, 0, 0, 0, 28
157, 4, 0, 55, 76, 100, 0, 0, 0, 28
158, 4, 0, 57, 77, 100, 0, 0, 0, 28
159, 4, 0, 56, 76, 100, 0, 0, 0, 29
160, 4, 0, 59, 78, 100, 0, 0, 0, 27
161, 4, 0, 56, 77, 100, 0, 0, 0, 29
162, 4, 0, 55, 77, 100, 0, 0, 0, 30
163, 4, 0, 55, 80, 100, 0, 0, 0, 31
164, 4, 0, 55, 76, 100, 0, 0, 0, 34
165, 4, 0, 57, 78, 100, 0, 0, 0, 32
166, 4, 0, 57, 81, 100, 0, 0, 0, 32
167, 4, 0, 59, 81, 100, 0, 0, 0, 33
168, 4, 0, 56, 77, 100, 0, 0, 0, 35
169, 4, 0, 56, 78, 100, 0, 0, 0, 34
170, 4, 0, 56, 78, 100, 0, 0, 0, 34
171, 4, 0, 57, 81, 100, 0, 0, 0, 33
172, 4, 0, 56, 83, 100, 0, 0, 0, 36
173, 4, 0, 56, 75, 100, 0, 0, 0, 39
174, 4, 0, 56, 81, 100, 0, 0, 0, 35
175, 4, 0, 57, 82, 100, 0, 0, 0, 36
176, 4, 0, 57, 79, 100, 0, 0, 0, 38
177, 4, 0, 56, 78, 100, 0, 0, 0, 37
178, 4, 0, 57, 73, 100, 0, 0, 0, 35
179, 4, 0, 54, 80, 100, 0, 0, 0, 32
180, 4, 0, 56, 78, 100, 0, 0, 0, 34
181, 4, 0, 55, 77, 100, 0, 0, 0, 34
182, 4, 0, 56, 80, 100, 0, 0, 0, 33
183, 4, 0, 57, 74, 100, 0, 0, 0, 34
184, 4, 0, 56, 72, 100, 0, 0, 0, 31
185, 4, 0, 56, 74, 100, 0, 0, 0, 27
186, 4, 0, 56, 78, 100, 0, 0, 0, 26
187, 4, 0, 59, 75, 100, 0, 0, 0, 26
188, 4, 0, 58, 79, 100, 0, 0, 0, 25
189, 4, 0, 57, 82, 100, 0, 0, 0, 28
190, 4, 0, 59, 71, 100, 0, 0, 0, 31
191, 4, 0, 57, 77, 100, 0, 0, 0, 26
192, 4, 0, 57, 76, 100, 0, 0, 0, 26
193, 4, 0, 58, 76, 100, 0, 0, 0, 26
194, 4, 0, 57, 60, 100, 0, 0, 0, 26
195, 4, 0, 57, 75, 100, 0, 0, 0, 15
196, 4, 0, 57, 90, 100, 0, 0, 0, 19
197, 4, 0, 55, 76, 100, 0, 0, 0, 35
198, 4, 0, 56, 80, 100, 0, 0, 0, 33
199, 4, 0, 56, 80, 100, 0, 0, 0, 35
200, 4, 0, 59, 77, 100, 0, 0, 0, 34
201, 4, 0, 57, 86, 100, 0, 0, 0, 32
202, 4, 0, 57, 84, 100, 0, 0, 0, 39
203, 4, 0, 58, 77, 100, 0, 0, 0, 41
204, 4, 0, 57, 83, 100, 0, 0, 0, 37
205, 4, 0, 56, 75, 100, 0, 0, 0, 40
206, 4, 0, 56, 80, 100, 0, 0, 0, 35
207, 4, 0, 57, 85, 100, 0, 0, 0, 36
208, 4, 0, 56, 76, 100, 0, 0, 0, 41
209, 4, 0, 57, 68, 100, 0, 0, 0, 36
210, 4, 0, 57, 76, 100, 0, 0, 0, 27
211, 4, 0, 56, 77, 100, 0, 0, 0, 28
212, 4, 0, 55, 77, 100, 0, 0, 0, 29
213, 4, 0, 56, 82, 100, 0, 0, 0, 30
214, 4, 0, 55, 77, 100, 0, 0, 0, 35
215, 4, 0, 56, 79, 100, 0, 0, 0, 33
216, 4, 0, 56, 81, 100, 0, 0, 0, 34
217, 4, 0, 56, 88, 100, 0, 0, 0, 36
218, 4, 0, 57, 87, 100, 0, 0, 0, 43
219, 4, 0, 55, 77, 100, 0, 0, 0, 48
